After init: $7AFE (speedbyte mirror), $7BAE, $8403..$8408, $7B6B (SMC), runtime $9116
sub 7AFE 7BAE    V0    V1    V2 7B6B(SMC) speedsto
  0 $03  $02  $8724 $8792 $882E  $08       $00
  1 $02  $02  $8C29 $8C3D $8C43  $0E       $00
  2 $02  $02  $8CD0 $8CED $8CF0  $14       $00
  3 $03  $02  $8E2D $8E30 $8E33  $1A       $00
  4 $02  $02  $8E64 $8E67 $8E6A  $20       $00
  5 $02  $02  $8EA0 $8EDB $8EE0  $26       $00
  6 $02  $00  $8FC5 $9015 $9015  $2C       $00
  7 $02  $00  $8FC5 $9056 $9056  $2C       $00
  8 $02  $00  $8FC5 $9008 $9008  $2C       $00
  9 $02  $00  $8FC5 $9054 $9054  $2C       $00
 10 $02  $00  $8FC5 $9014 $9014  $2C       $00
 11 $02  $00  $8FC5 $9021 $9021  $2C       $00
