Using configfile tools/sidid/sidid.cfg
--- SIDId engine classification for HVSC #85 (hvsc85/).
--- generator: tools/sidid (upstream cadaver/sidid @ ee92b8d96d9dda6d06d24674740577ddcbfe4f79 2026-07-14), SIDId V1.09,
---   PATCHED to not truncate paths at 56 chars -- see tools/sidid_no_truncate.patch.
---   Upstream's truncation silently dropped 1,384 long-path members (2.3%),
---   which was 43% of everything previously reading as unclassified.
--- scope: HVSC originals only. Our own *.sidfinity.sid rebuilds live inside the
---   tree and WOULD be scanned; they are filtered out here, as is sidid's
---   trailing per-player summary (whose lines otherwise parse as bogus paths).
--- generated 2026-08-09: 59826 identified of 61,157 originals.
DEMOS/0-9/10_Orbyte.sid                                  GoatTracker_V2.x
DEMOS/0-9/12345.sid                                      C64_Speech_System
DEMOS/0-9/128_Byte_Blues_BASIC.sid                       128bytes_tiny
DEMOS/0-9/12th_Sector_Music.sid                          Master_Composer
DEMOS/0-9/1394.sid                                       GoatTracker_V1.x
DEMOS/0-9/150_Grams_Demoset_part_4.sid                   SkyLine_Editor
DEMOS/0-9/1982_Senioridevaaja.sid                        GoatTracker_V2.x
DEMOS/0-9/1982_Xyce.sid                                  GoatTracker_V2.x
DEMOS/0-9/1988_Carat_tune_1.sid                          Soundmonitor
DEMOS/0-9/1_45_Tune.sid                                  DMC
DEMOS/0-9/1st_Chaff.sid                                  JCH_NewPlayer
DEMOS/0-9/1st_Sound.sid                                  MoN/FutureComposer
DEMOS/0-9/2Pac_Intro.sid                                 DMC
DEMOS/0-9/2_Hours_NOT_Enough.sid                         GoatTracker_V2.x
DEMOS/0-9/2hero.sid                                      GoatTracker_V2.x
DEMOS/0-9/3-in-1_Demo.sid                                Electrosound
DEMOS/0-9/35_Years.sid                                   Hermit/SidWizard_V1.x
DEMOS/0-9/38_Years_Later.sid                             GoatTracker_V2.x
DEMOS/0-9/3LUX_Intro.sid                                 Music_Assembler
DEMOS/0-9/3_Days.sid                                     Hermit/SidWizard_V1.x
DEMOS/0-9/3_Oversample.sid                               Soundmonitor
DEMOS/0-9/3rd_intro.sid                                  Soundmonitor
DEMOS/0-9/4PIT.sid                                       GoatTracker_V2.x
DEMOS/0-9/4checkers.sid                                  GoatTracker_V2.x
DEMOS/0-9/53_Miles_West_of_Venus.sid                     SkyLine_Editor
DEMOS/0-9/5th_Demo.sid                                   MoN/FutureComposer
DEMOS/0-9/64C.sid                                        Hermit/SidWizard_V1.x
DEMOS/0-9/64_Wishes_of_the_Catstar.sid                   Hermit/SidWizard_V1.x
DEMOS/0-9/7D_Funkt.sid                                   JCH_NewPlayer
DEMOS/0-9/7_Years.sid                                    Music_Assembler
DEMOS/0-9/8-Bit_Bard.sid                                 Hermit/SidWizard_V1.x
DEMOS/0-9/8-bit_Panda-Ending_Theme.sid                   DefleMask_v12
DEMOS/0-9/809.sid                                        GoatTracker_V2.x
DEMOS/0-9/83.sid                                         John_Player
DEMOS/A-F/A_Case_for_Two_remix.sid                       MoN/FutureComposer
DEMOS/A-F/A_Crack_in_the_Facade.sid                      GoatTracker_V2.x
DEMOS/A-F/A_Funky_Toon.sid                               Soundmonitor
DEMOS/A-F/A_Gold_Dream.sid                               Soundmonitor
DEMOS/A-F/A_Neverending_Dream.sid                        HardTrack_Composer
DEMOS/A-F/A_Stroll_in_the_Woods.sid                      GoatTracker_V2.x
DEMOS/A-F/A_True_Story.sid                               Soundmonitor
DEMOS/A-F/Above_the_Stars_part_2.sid                     MoN/FutureComposer
DEMOS/A-F/Absolute_Zak_part_1.sid                        Soundmonitor
DEMOS/A-F/Abyss_Zone_Demo.sid                            Ariston
DEMOS/A-F/Accept_intro.sid                               MoN/FutureComposer
DEMOS/A-F/Access_Crew_Intro_1.sid                        MoN/FutureComposer
DEMOS/A-F/Access_Denied_Remix.sid                        Reflextracker
DEMOS/A-F/Aces_High_tune_2.sid                           Soundmonitor
DEMOS/A-F/Acid_2.sid                                     MoN/FutureComposer
DEMOS/A-F/Acid_Mix.sid                                   Music_Assembler
DEMOS/A-F/Acid_and_Black_tune_1.sid                      SoedeSoft
DEMOS/A-F/Acid_and_Black_tune_2.sid                      SoedeSoft
DEMOS/A-F/Acters_Are_Here.sid                            Soundmonitor
DEMOS/A-F/Active_Guru.sid                                Groovy_Bits
DEMOS/A-F/Addictive_part_4.sid                           Music_Assembler
DEMOS/A-F/Adelaide_Party_Demo.sid                        MoN/FutureComposer
DEMOS/A-F/Adventure.sid                                  Geir_Tjelta/SIDDuzz'It
DEMOS/A-F/Aekkiaenyejotai.sid                            SidFactory_II/Laxity
DEMOS/A-F/After8ty_01.sid                                Music_Assembler
DEMOS/A-F/Agyrem_001.sid                                 Music_Assembler
DEMOS/A-F/Agyrem_001_note.sid                            Music_Assembler
DEMOS/A-F/Ahoy_Magazine_BASIC.sid                        Basic_Program
DEMOS/A-F/Air-Bach_BASIC.sid                             Basic/Jim_Butterfield
DEMOS/A-F/Air.sid                                        Modulator
DEMOS/A-F/Air_Dance_4_part_4_remixed.sid                 Music_Assembler
DEMOS/A-F/Airwolf.sid                                    MoN/FutureComposer
DEMOS/A-F/Airwolf_Mix.sid                                Soundmonitor
DEMOS/A-F/Alcohol_Rulz.sid                               DMC
DEMOS/A-F/Aldi_Industries_3_Scroller-Intro.sid           GoatTracker_V2.x
DEMOS/A-F/Alf_First_Demo.sid                             Soundmonitor
DEMOS/A-F/Alien_Boo_Woo.sid                              Soundmonitor
DEMOS/A-F/Alive.sid                                      GoatTracker_V1.x
DEMOS/A-F/All_Micronet_part_2.sid                        Soundmonitor
DEMOS/A-F/All_the_Small_Things.sid                       Hermit/SidWizard_V1.x
DEMOS/A-F/Alphaflight_Intro.sid                          Music_Assembler
DEMOS/A-F/Also_You.sid                                   Music_Assembler
DEMOS/A-F/America_BASIC.sid                              Basic/Jim_Butterfield
DEMOS/A-F/American_Flag_BASIC.sid                        Basic_Program
DEMOS/A-F/American_Pie.sid                               Master_Composer
DEMOS/A-F/Amiga.sid                                      Soundmonitor
DEMOS/A-F/Amiga_Mix.sid                                  SoedeSoft
